SpNo,Latitude,Longitude
385,-37.75000000,143.58333300
385,-37.75000000,143.58333300
385,-37.75000000,144.58333300
385,-37.75000000,145.08333300
385,-37.75000000,145.25000000
385,-37.75000000,145.41666700
385,-37.75000000,145.58333300
385,-37.75000000,147.08333300
385,-37.75000000,147.16666700
385,-37.75000000,147.25000000
385,-37.75000000,147.41666700
385,-37.75000000,147.41666700
385,-37.75000000,147.50000000
385,-37.75000000,147.58333300
385,-37.75000000,147.91666700
385,-37.75000000,148.08333300
385,-37.75000000,148.41666700
385,-37.74726000,144.52184000
385,-37.74052000,144.58788000
385,-37.73464000,145.10436000
385,-37.72797000,147.52953000
385,-37.72346000,147.75961000
385,-37.71214000,145.28304000
385,-37.70687000,141.37637000
385,-37.70684000,143.54300000
385,-37.70683000,144.54299000
385,-37.70000000,146.50000000
385,-37.69012000,148.25960000
385,-37.68333300,143.56666700
385,-37.68183000,144.81799000
385,-37.66667000,143.56667000
385,-37.66667000,143.60001000
385,-37.66666700,144.53333300
385,-37.65683000,144.50966000
385,-37.65531000,145.10298000
385,-37.65222168,144.82499695
385,-37.64850000,144.50132000
385,-37.64028000,144.49140000
385,-37.64016000,145.10965000
385,-37.62937000,145.11497000
385,-37.62354000,141.29303000
385,-37.62353000,141.95969000
385,-37.62351000,143.70967000
385,-37.62087000,145.20583000
385,-37.61414000,144.62142000
385,-37.61392000,144.43905000
385,-37.61306000,148.12167000
385,-37.61180000,144.50822000
385,-37.61141000,144.62037000
385,-37.60858000,144.52645000
385,-37.60835000,148.13254000
385,-37.60387000,144.43260000
385,-37.60379000,145.20850000
385,-37.60000000,148.15000000
385,-37.59929000,148.12206000
385,-37.59762000,148.12332000
385,-37.59634000,145.19282000
385,-37.59500122,148.12890625
385,-37.59306000,148.12891000
385,-37.58511000,145.22480000
385,-37.58333300,141.91666700
385,-37.58333300,141.91666700
385,-37.58333300,142.25000000
385,-37.58333300,143.85000000
385,-37.58333300,144.41666700
385,-37.58333300,144.58333300
385,-37.58333300,145.33333300
385,-37.58333300,145.75000000
385,-37.58333300,147.91666700
385,-37.58333300,148.08333300
385,-37.58333300,149.75000000
385,-37.58333300,149.75000000
385,-37.57952000,145.33591000
385,-37.57707000,145.29067000
385,-37.57373000,144.58421000
385,-37.57350000,144.59299000
385,-37.57348000,145.79297000
385,-37.56351000,144.52568000
385,-37.55729000,144.90283000
385,-37.55525000,141.24682000
385,-37.55328000,141.22273000
385,-37.54944000,148.12111000
385,-37.54909000,145.28792000
385,-37.54020000,141.20970000
385,-37.50251000,148.17167000
385,-37.50000000,142.50000000
385,-37.50000000,142.50000000
385,-37.50000000,143.50000000
385,-37.50000000,144.50000000
385,-37.50000000,145.11666700
385,-37.50000000,145.50000000
385,-37.50000000,148.08333300
385,-37.50000000,149.75000000
385,-37.49639000,148.16528000
385,-37.49525000,145.18282000
385,-37.48333000,145.05000000
385,-37.48333000,148.26666000
385,-37.47721863,142.17059326
385,-37.47706000,145.23189000
385,-37.45687000,141.04303000
385,-37.45687000,141.20970000
385,-37.44005000,141.14131000
385,-37.42436000,141.23478000
385,-37.41666700,141.08333300
385,-37.41666700,141.25000000
385,-37.41666700,141.41666700
385,-37.41666700,141.91666700
385,-37.41666700,141.91666700
385,-37.41666700,142.08333300
385,-37.41666700,142.25000000
385,-37.41666700,142.25000000
385,-37.41666700,142.26666700
385,-37.41666700,142.41666700
385,-37.41666700,145.08333300
385,-37.41666700,149.25000000
385,-37.41666700,149.41666700
385,-37.41666700,149.75000000
385,-37.39916992,143.80360413
385,-37.39741000,144.93328000
385,-37.37526000,142.28388000
385,-37.37353000,141.20970000
385,-37.37353000,141.29303000
385,-37.36330000,141.01776000
385,-37.34102000,141.39032000
385,-37.33333300,142.25000000
385,-37.32097000,144.65214000
385,-37.29020000,141.04303000
385,-37.29020000,141.29303000
385,-37.28889000,143.24124000
385,-37.28333300,146.15000000
385,-37.25795000,143.72738000
385,-37.25684000,143.72633000
385,-37.25112000,142.07881000
385,-37.25027847,142.73280334
385,-37.25000000,140.91666700
385,-37.25000000,141.08333300
385,-37.25000000,141.91666700
385,-37.25000000,142.08333300
385,-37.25000000,142.25000000
385,-37.25000000,142.25000000
385,-37.25000000,142.41666700
385,-37.25000000,142.58333300
385,-37.25000000,142.75000000
385,-37.25000000,142.91666700
385,-37.25000000,143.25000000
385,-37.25000000,143.58333300
385,-37.25000000,143.75000000
385,-37.25000000,143.75000000
385,-37.25000000,143.91666700
385,-37.25000000,144.08333300
385,-37.25000000,144.08333300
385,-37.25000000,144.25000000
385,-37.25000000,144.91666700
385,-37.25000000,144.91666700
385,-37.25000000,145.08333300
385,-37.25000000,145.08333300
385,-37.25000000,145.25000000
385,-37.25000000,145.91666700
385,-37.25000000,147.58333300
385,-37.25000000,147.75000000
385,-37.25000000,148.75000000
385,-37.25000000,149.08333300
385,-37.25000000,149.41666700
385,-37.23360825,142.72000122
385,-37.23333000,141.91667000
385,-37.23249817,141.86970520
385,-37.22976000,142.73792000
385,-37.22267000,144.04555000
385,-37.21026000,145.00375000
385,-37.20820000,142.96392000
385,-37.20804977,149.63279724
385,-37.20687000,141.12636000
385,-37.20686000,141.87635000
385,-37.20686000,141.95968000
385,-37.20685000,142.34301000
385,-37.20340000,145.02421000
385,-37.20000000,144.00000000
385,-37.20000000,144.20000000
385,-37.20000000,145.00000000
385,-37.20000000,145.01666700
385,-37.19296000,144.99294000
385,-37.18333300,145.86666700
385,-37.17400000,144.04520000
385,-37.16903000,140.62250000
385,-37.16666700,145.00000000
385,-37.16666700,145.85000000
385,-37.15749000,141.26211000
385,-37.15685000,142.25968000
385,-37.15547000,141.84441000
385,-37.15469000,142.62923000
385,-37.14850000,143.75133000
385,-37.14576000,142.74951000
385,-37.13744000,145.06871000
385,-37.13333300,140.73333300
385,-37.13073000,142.73003000
385,-37.12369000,142.58917000
385,-37.12353000,141.45969000
385,-37.12353000,141.62635000
385,-37.12352000,142.62634000
385,-37.11693954,141.81779480
385,-37.11666000,144.05000000
385,-37.10890000,147.16052000
385,-37.10805000,143.70174000
385,-37.10721970,144.05690002
385,-37.10686000,142.12635000
385,-37.10686000,142.15968000
385,-37.10000000,140.78333300
385,-37.10000000,140.86666700
385,-37.10000000,145.21666667
385,-37.09138870,143.60440063
385,-37.09074020,149.68009949
385,-37.09018000,143.17633000
385,-37.08750000,144.08389000
385,-37.08639145,143.69940186
385,-37.08333333,145.00000000
385,-37.08333300,140.41666700
385,-37.08333300,140.58333300
385,-37.08333300,140.58333300
385,-37.08333300,140.75000000
385,-37.08333300,140.75000000
385,-37.08333300,141.25000000
385,-37.08333300,141.58333300
385,-37.08333300,141.75000000
385,-37.08333300,141.91666700
385,-37.08333300,142.08333300
385,-37.08333300,142.41666700
385,-37.08333300,142.58333300
385,-37.08333300,142.75000000
385,-37.08333300,142.91666700
385,-37.08333300,143.58333300
385,-37.08333300,143.75000000
385,-37.08333300,143.75000000
385,-37.08333300,143.91666700
385,-37.08333300,144.08333300
385,-37.08333300,144.08333300
385,-37.08333300,144.25000000
385,-37.08333300,144.25000000
385,-37.08333300,144.58333300
385,-37.08333300,144.75000000
385,-37.08333300,144.75000000
385,-37.08333300,144.91666700
385,-37.08333300,144.91666700
385,-37.08333300,145.08333300
385,-37.08333300,145.25000000
385,-37.08333300,145.25000000
385,-37.08333300,145.41666700
385,-37.08333300,147.58333300
385,-37.08333300,148.25000000
385,-37.08333300,148.41666700
385,-37.08333300,148.41666700
385,-37.08333300,148.58333300
385,-37.08333300,148.75000000
385,-37.08333300,149.41666700
385,-37.08333300,149.58333300
385,-37.08245000,148.42168000
385,-37.08219000,142.29580000
385,-37.08186000,141.76802000
385,-37.08184000,143.66799000
385,-37.08183000,144.08465000
385,-37.08024000,143.69625000
385,-37.07454000,148.47890000
385,-37.07352000,142.65967000
385,-37.07350000,143.67633000
385,-37.07110977,144.04670715
385,-37.06723000,148.41352000
385,-37.06666700,141.28333300
385,-37.05683000,144.10965000
385,-37.05000000,142.78333300
385,-37.05000000,143.71666000
385,-37.05000000,144.26666700
385,-37.04693985,143.81579590
385,-37.04019000,141.70968000
385,-37.04019000,142.04301000
385,-37.02586000,142.75125000
385,-37.02133000,144.72209000
385,-37.01666700,140.43333300
385,-37.01169000,144.88309000
385,-37.00565000,145.05632000
385,-37.00000000,143.00000000
385,-37.00000000,148.41666700
385,-36.99062000,141.72115000
385,-36.98527908,141.72940063
385,-36.98054000,141.74914000
385,-36.96944000,148.39028000
385,-36.96666700,140.75000000
385,-36.95833000,142.34167000
385,-36.95687000,141.20969000
385,-36.95686000,141.79302000
385,-36.95683000,144.49298000
385,-36.95444000,143.79735000
385,-36.95271000,148.32702000
385,-36.95260000,144.66350000
385,-36.95111000,148.32153000
385,-36.95104000,148.32826000
385,-36.94999000,144.49178000
385,-36.94481000,145.19935000
385,-36.94472000,145.14806000
385,-36.94139000,145.14722000
385,-36.94012070,149.33909607
385,-36.93514000,142.46173000
385,-36.93333333,145.15000000
385,-36.92819000,143.68527000
385,-36.92727000,143.68636000
385,-36.92510000,142.47164000
385,-36.92411041,148.87139893
385,-36.92369000,143.68511000
385,-36.91667175,142.83329773
385,-36.91667175,148.25000000
385,-36.91666700,140.41666700
385,-36.91666700,140.58333300
385,-36.91666700,140.75000000
385,-36.91666700,140.75000000
385,-36.91666700,141.08333300
385,-36.91666700,141.75000000
385,-36.91666700,142.41666700
385,-36.91666700,142.53333300
385,-36.91666700,142.58333300
385,-36.91666700,142.91666700
385,-36.91666700,143.58333300
385,-36.91666700,143.75000000
385,-36.91666700,143.91666700
385,-36.91666700,144.25000000
385,-36.91666700,144.41666700
385,-36.91666700,144.50000000
385,-36.91666700,144.58333300
385,-36.91666700,144.75000000
385,-36.91666700,144.75000000
385,-36.91666700,144.91666700
385,-36.91666700,145.25000000
385,-36.91666700,145.75000000
385,-36.91666700,146.08333300
385,-36.91666700,146.08333300
385,-36.91666700,147.58333300
385,-36.91666700,148.25000000
385,-36.91666700,148.25000000
385,-36.91666700,148.41666700
385,-36.91666700,148.41666700
385,-36.91666700,148.58333300
385,-36.91666700,148.75000000
385,-36.91666700,148.83333300
385,-36.91666700,148.91666700
385,-36.91666700,149.08333300
385,-36.91666700,149.91666700
385,-36.91419983,148.85659790
385,-36.91412000,144.03058000
385,-36.91197000,145.50641000
385,-36.91033000,145.50771000
385,-36.90707000,144.38867000
385,-36.90581894,148.86380005
385,-36.90393066,148.79269409
385,-36.90393000,142.94150000
385,-36.90087128,148.86849976
385,-36.90029144,149.34790039
385,-36.89958954,148.79910278
385,-36.89208000,145.00197000
385,-36.89201000,144.99749000
385,-36.89073181,148.69119263
385,-36.88554000,143.61758000
385,-36.88334000,142.46666000
385,-36.88189000,143.61970000
385,-36.88184000,143.62194000
385,-36.88107000,143.61631000
385,-36.87879000,141.56412000
385,-36.87699000,144.44930000
385,-36.87525000,141.55063000
385,-36.87353000,141.04302000
385,-36.87353000,141.20969000
385,-36.87352000,141.79301000
385,-36.87351000,143.20966000
385,-36.87349000,144.54298000
385,-36.87349000,144.69297000
385,-36.86978000,145.50850000
385,-36.86771011,149.35479736
385,-36.85521000,141.59424000
385,-36.85468000,144.54536000
385,-36.84576035,149.89909363
385,-36.84558000,142.98152000
385,-36.84391000,142.47681000
385,-36.84187000,144.09728000
385,-36.83683000,144.46745000
385,-36.83333300,142.25000000
385,-36.83333300,143.75000000
385,-36.83332825,142.98330688
385,-36.82766000,142.97545000
385,-36.82444000,144.26310730
385,-36.82300000,141.28451000
385,-36.81666700,140.41666700
385,-36.81666700,144.16666700
385,-36.81666700,144.33333300
385,-36.81666700,146.41666700
385,-36.81058000,147.47381000
385,-36.80775000,143.78864000
385,-36.80686000,141.39302000
385,-36.80580000,145.07147000
385,-36.80467000,145.06574000
385,-36.80221000,143.46905000
385,-36.80000000,144.25000000
385,-36.79700000,144.21775000
385,-36.79555893,148.66450500
385,-36.79492188,148.40710449
385,-36.79269000,143.44970000
385,-36.79119000,144.65945000
385,-36.79055023,141.08779907
385,-36.79019000,141.79301000
385,-36.79016000,144.95964000
385,-36.79013824,148.38420105
385,-36.78987885,148.40660095
385,-36.78849000,141.37741000
385,-36.78744000,144.08253000
385,-36.78694000,145.00361000
385,-36.78543000,145.00491000
385,-36.78510000,141.72034000
385,-36.78489000,145.00588000
385,-36.78373000,144.99022000
385,-36.78280000,144.38632000
385,-36.78273000,144.68772000
385,-36.78147000,143.42581000
385,-36.78033000,141.76288000
385,-36.77750000,144.98472000
385,-36.77611160,145.06939697
385,-36.77349000,144.50964000
385,-36.77222000,142.12889000
385,-36.76766968,149.69450378
385,-36.76673889,149.44990540
385,-36.76666700,144.13333300
385,-36.76666700,144.28333300
385,-36.76216000,144.39038000
385,-36.76174927,148.49569702
385,-36.75793000,145.50283000
385,-36.75682000,145.49296000
385,-36.75513077,148.44740295
385,-36.75513000,145.49504000
385,-36.75321000,144.79603000
385,-36.75231171,148.52909851
385,-36.75222000,144.66806000
385,-36.75116000,143.53831000
385,-36.75027847,142.25140381
385,-36.75000000,140.08333300
385,-36.75000000,140.41666700
385,-36.75000000,140.41666700
385,-36.75000000,140.58333300
385,-36.75000000,140.75000000
385,-36.75000000,141.75000000
385,-36.75000000,141.83333300
385,-36.75000000,141.91666700
385,-36.75000000,142.08333300
385,-36.75000000,143.08329773
385,-36.75000000,143.25000000
385,-36.75000000,143.41666700
385,-36.75000000,143.58333300
385,-36.75000000,143.75000000
385,-36.75000000,143.91666700
385,-36.75000000,144.08333300
385,-36.75000000,144.25000000
385,-36.75000000,144.25000000
385,-36.75000000,144.41666700
385,-36.75000000,144.58333300
385,-36.75000000,144.75000000
385,-36.75000000,144.91666700
385,-36.75000000,144.91666700
385,-36.75000000,145.08329773
385,-36.75000000,145.08333300
385,-36.75000000,145.08333300
385,-36.75000000,146.08333300
385,-36.75000000,146.25000000
385,-36.75000000,146.41666700
385,-36.75000000,146.58333300
385,-36.75000000,147.75000000
385,-36.75000000,148.41666700
385,-36.75000000,148.58333300
385,-36.75000000,149.08333300
385,-36.75000000,149.41666700
385,-36.74647000,143.08536000
385,-36.74441910,148.43940735
385,-36.74428177,148.45060730
385,-36.74015000,145.04297000
385,-36.73847000,144.50428000
385,-36.73509000,143.01339000
385,-36.73417000,145.04527000
385,-36.73413000,144.55593000
385,-36.73183000,144.50131000
385,-36.72458000,144.48682000
385,-36.72349000,144.37631000
385,-36.72348000,145.92629000
385,-36.72166061,149.46099854
385,-36.71969986,148.94149780
385,-36.71583176,148.56199646
385,-36.71532059,148.53169250
385,-36.70686000,141.70968000
385,-36.70683000,144.45964000
385,-36.70682000,144.79297000
385,-36.69757000,142.42923000
385,-36.69721000,143.21722000
385,-36.66666700,142.33333300
385,-36.65682000,145.07630000
385,-36.65089000,146.08398000
385,-36.65063000,143.29754000
385,-36.65000153,143.61669922
385,-36.63334000,144.25000000
385,-36.63333300,143.73333300
385,-36.63333300,143.75000000
385,-36.63333300,144.26666700
385,-36.63177000,145.92245000
385,-36.62908000,145.92473000
385,-36.62353000,141.12635000
385,-36.62353000,141.37635000
385,-36.62353000,141.45968000
385,-36.62352000,141.62635000
385,-36.62352000,141.79301000
385,-36.62352000,142.04301000
385,-36.62350000,143.70965000
385,-36.62348000,145.95962000
385,-36.62347000,146.45961000
385,-36.61666700,144.50000000
385,-36.60556030,143.71000671
385,-36.60443878,143.69500732
385,-36.60364000,143.69073000
385,-36.60000000,144.33333300
385,-36.60000000,145.11666700
385,-36.59989000,143.65707000
385,-36.59903000,143.69504000
385,-36.59611130,145.94779968
385,-36.59018000,142.54300000
385,-36.58333300,139.91666700
385,-36.58333300,140.25000000
385,-36.58333300,140.41666700
385,-36.58333300,140.58333300
385,-36.58333300,140.58333300
385,-36.58333300,140.75000000
385,-36.58333300,140.91666700
385,-36.58333300,140.91666700
385,-36.58333300,141.08333300
385,-36.58333300,141.08333300
385,-36.58333300,141.25000000
385,-36.58333300,141.41666700
385,-36.58333300,141.41666700
385,-36.58333300,141.58333300
385,-36.58333300,141.58333300
385,-36.58333300,141.75000000
385,-36.58333300,141.91666700
385,-36.58333300,142.08333300
385,-36.58333300,142.08333300
385,-36.58333300,142.58333300
385,-36.58333300,142.58333300
385,-36.58333300,143.25000000
385,-36.58333300,143.41666700
385,-36.58333300,143.58333300
385,-36.58333300,143.58333300
385,-36.58333300,143.75000000
385,-36.58333300,143.75000000
385,-36.58333300,143.91666700
385,-36.58333300,144.08333300
385,-36.58333300,144.25000000
385,-36.58333300,144.41666700
385,-36.58333300,145.08333300
385,-36.58333300,145.08333300
385,-36.58333300,145.75000000
385,-36.58333300,145.91666700
385,-36.58333300,146.25000000
385,-36.58333300,146.41666700
385,-36.58333300,148.08333300
385,-36.58333300,148.75000000
385,-36.58333300,148.91666700
385,-36.58332825,143.91670227
385,-36.58193970,141.97000122
385,-36.58183000,144.25131000
385,-36.57528000,145.95677000
385,-36.57351000,142.49300000
385,-36.56666700,141.30000000
385,-36.56502914,148.94650269
385,-36.56361008,148.94180298
385,-36.56023000,141.63332000
385,-36.55685000,142.47633000
385,-36.55405000,145.90119000
385,-36.55167007,144.36030579
385,-36.55028152,141.95249939
385,-36.54522000,144.32063000
385,-36.54130936,148.97749329
385,-36.54020000,141.04302000
385,-36.54020000,141.12635000
385,-36.54019000,141.29301000
385,-36.54019000,141.37635000
385,-36.54019000,141.62634000
385,-36.54019000,141.70968000
385,-36.54019000,141.79301000
385,-36.54019000,141.95967000
385,-36.54016000,144.29297000
385,-36.54014000,145.95962000
385,-36.53954000,145.71260000
385,-36.53926000,145.96172000
385,-36.53859000,145.70815000
385,-36.53759000,145.69923000
385,-36.53583000,141.64889000
385,-36.53332901,143.69279480
385,-36.53208000,146.19863000
385,-36.53083038,143.68919373
385,-36.52872000,145.71278000
385,-36.52769000,145.70051000
385,-36.52692000,145.71281000
385,-36.52691000,145.71169000
385,-36.52352000,142.04300000
385,-36.52348000,145.75962000
385,-36.52120000,145.76875000
385,-36.52083000,145.73301000
385,-36.51953000,145.69618000
385,-36.51949000,145.69283000
385,-36.51916885,144.41360474
385,-36.51902000,145.73304000
385,-36.51425000,146.22897000
385,-36.50933000,141.84508000
385,-36.50888824,144.33859253
385,-36.50780000,145.78012000
385,-36.50685000,142.12634000
385,-36.50683000,144.42630000
385,-36.50482000,144.32760000
385,-36.50363000,146.01133000
385,-36.50360870,144.34359741
385,-36.50000000,140.50000000
385,-36.50000000,140.50000000
385,-36.50000000,141.50000000
385,-36.50000000,141.50000000
385,-36.50000000,141.83333300
385,-36.50000000,142.05000000
385,-36.50000000,142.50000000
385,-36.50000000,143.50000000
385,-36.50000000,143.50000000
385,-36.50000000,144.50000000
385,-36.50000000,144.50000000
385,-36.50000000,146.50000000
385,-36.50000000,146.50000000
385,-36.50000000,147.50000000
385,-36.50000000,150.00000000
385,-36.49798000,145.79033000
385,-36.49666977,144.40359497
385,-36.49241000,139.98750000
385,-36.49203000,145.73795000
385,-36.49019000,142.12634000
385,-36.48333000,144.41667000
385,-36.47903000,146.22039000
385,-36.47528076,141.71800232
385,-36.47352000,142.39300000
385,-36.47000122,143.74360657
385,-36.46703000,143.75295000
385,-36.46250153,143.75500488
385,-36.45687103,149.34790039
385,-36.45686000,141.04302000
385,-36.45686000,141.12635000
385,-36.45686000,141.62634000
385,-36.45686000,141.70967000
385,-36.45685000,141.87634000
385,-36.45685000,141.95967000
385,-36.45685000,142.52633000
385,-36.45222092,143.55140686
385,-36.45187000,141.66591000
385,-36.45181000,141.67707000
385,-36.44905853,148.16270447
385,-36.44889069,141.78610229
385,-36.44310000,146.24083000
385,-36.44305038,143.53829956
385,-36.44018000,142.60966000
385,-36.43861008,143.53080750
385,-36.43333300,143.61666700
385,-36.41666700,139.91666700
385,-36.41666700,140.08333300
385,-36.41666700,140.25000000
385,-36.41666700,140.25000000
385,-36.41666700,140.41666700
385,-36.41666700,140.41666700
385,-36.41666700,140.75000000
385,-36.41666700,140.91666700
385,-36.41666700,141.25000000
385,-36.41666700,141.41666700
385,-36.41666700,141.58333300
385,-36.41666700,141.58333300
385,-36.41666700,141.75000000
385,-36.41666700,141.75000000
385,-36.41666700,141.91666700
385,-36.41666700,142.25000000
385,-36.41666700,142.25000000
385,-36.41666700,142.41666700
385,-36.41666700,143.08333300
385,-36.41666700,143.58333300
385,-36.41666700,143.91666700
385,-36.41666700,145.08333300
385,-36.41666700,145.41666700
385,-36.41666700,145.58333300
385,-36.41666700,145.75000000
385,-36.41666700,146.08333300
385,-36.41666700,146.25000000
385,-36.41666700,146.25000000
385,-36.41666700,146.58333300
385,-36.41666700,146.75000000
385,-36.41666700,148.58333300
385,-36.41666700,148.91666700
385,-36.41666700,149.25000000
385,-36.41666700,149.41666700
385,-36.41666700,149.75000000
385,-36.41638947,143.66329956
385,-36.41582870,143.66830444
385,-36.41220000,146.20210000
385,-36.40681000,146.24294000
385,-36.40392000,145.68278000
385,-36.40277000,146.02488000
385,-36.40265000,143.05718000
385,-36.40000000,146.21666000
385,-36.39944000,145.67812000
385,-36.39020920,149.31089783
385,-36.39018000,142.70966000
385,-36.38047000,146.08716000
385,-36.37973000,146.07533000
385,-36.37643000,142.11120000
385,-36.37352000,141.87634000
385,-36.37351000,142.70966000
385,-36.37348000,146.04295000
385,-36.36797000,145.20159000
385,-36.35832977,143.70249939
385,-36.35798000,146.05999000
385,-36.34500122,146.19580078
385,-36.34018000,142.64299000
385,-36.33558000,146.54830000
385,-36.33364000,146.18284000
385,-36.33333300,141.41666700
385,-36.33333300,145.68333300
385,-36.33333300,147.23333300
385,-36.33333000,140.45000000
385,-36.32722000,146.65556000
385,-36.32352000,141.87634000
385,-36.32351000,142.62633000
385,-36.30894000,146.67321000
385,-36.30000000,143.56667000
385,-36.29019000,141.79300000
385,-36.29013000,147.45959000
385,-36.28828000,146.14323000
385,-36.28333300,146.91666700
385,-36.27583000,146.13694000
385,-36.26514000,146.18461000
385,-36.25685000,141.84300000
385,-36.25681000,146.19294000
385,-36.25474167,149.32749939
385,-36.25000000,139.91666700
385,-36.25000000,140.25000000
385,-36.25000000,140.25000000
385,-36.25000000,140.41666700
385,-36.25000000,140.58333300
385,-36.25000000,140.75000000
385,-36.25000000,140.91666700
385,-36.25000000,141.08333300
385,-36.25000000,141.41666700
385,-36.25000000,141.75000000
385,-36.25000000,141.91666700
385,-36.25000000,142.00000000
385,-36.25000000,142.58333300
385,-36.25000000,143.55000000
385,-36.25000000,143.58333300
385,-36.25000000,143.91666700
385,-36.25000000,144.25000000
385,-36.25000000,145.25000000
385,-36.25000000,145.25000000
385,-36.25000000,146.01666667
385,-36.25000000,146.08333300
385,-36.25000000,146.25000000
385,-36.25000000,146.25000000
385,-36.25000000,146.58333300
385,-36.25000000,146.58333300
385,-36.25000000,146.75000000
385,-36.25000000,146.95000000
385,-36.25000000,148.08333300
385,-36.25000000,148.13333300
385,-36.25000000,149.08333300
385,-36.25000000,149.41666700
385,-36.25000000,150.08333300
385,-36.24722000,146.18750000
385,-36.24349000,146.18378000
385,-36.24285000,146.09476000
385,-36.24111176,146.18750000
385,-36.24076080,149.09899902
385,-36.24014000,146.60960000
385,-36.23940000,146.63121000
385,-36.23889000,146.24806000
385,-36.22528000,146.18306000
385,-36.22348000,145.20962000
385,-36.22347000,146.22627000
385,-36.22333145,146.18780518
385,-36.22138977,146.17860413
385,-36.22003000,146.18069000
385,-36.20702000,146.52030000
385,-36.20685000,141.79300000
385,-36.20683000,144.20964000
385,-36.20681000,146.20961000
385,-36.20167160,146.05690002
385,-36.20029000,146.19424000
385,-36.20000000,139.70000000
385,-36.19939000,146.19425000
385,-36.18873000,146.57695000
385,-36.18222046,144.29750061
385,-36.17571000,146.63304000
385,-36.17538000,146.62928000
385,-36.17537000,146.62706000
385,-36.17444992,144.21690369
385,-36.17351000,142.52633000
385,-36.17349000,144.24297000
385,-36.17110825,144.24360657
385,-36.17044830,149.09190369
385,-36.16950000,144.24567000
385,-36.16944885,144.24169922
385,-36.16935000,144.23901000
385,-36.16930000,144.24331000
385,-36.16855000,144.24348000
385,-36.16850000,144.24126000
385,-36.16778183,144.24310303
385,-36.16770000,144.24574000
385,-36.16765000,144.24352000
385,-36.16667000,149.35001000
385,-36.16582870,144.23060608
385,-36.16516000,144.25130000
385,-36.16495132,149.10639954
385,-36.16224000,144.24371000
385,-36.16222000,144.22970581
385,-36.16093000,144.22597000
385,-36.16060000,144.25043000
385,-36.15980000,144.21601000
385,-36.15743000,144.23054000
385,-36.15683000,144.24297000
385,-36.15584000,144.23948000
385,-36.15528107,144.24000549
385,-36.15333176,144.23280334
385,-36.15254000,144.21404000
385,-36.15111000,146.60194000
385,-36.15000153,146.60000610
385,-36.15000000,142.01666700
385,-36.15000000,146.61666700
385,-36.14849000,144.23463000
385,-36.14778137,144.23330688
385,-36.14539000,144.21652000
385,-36.14221954,144.22250366
385,-36.14167000,144.28998000
385,-36.14152000,146.55380000
385,-36.14070000,144.28668000
385,-36.14016000,144.24297000
385,-36.13822000,146.57166000
385,-36.13750076,144.24110413
385,-36.13639069,144.21420288
385,-36.13621000,146.55374000
385,-36.13548000,146.55945000
385,-36.13456000,146.55501000
385,-36.13389000,146.40164000
385,-36.13368000,146.56057000
385,-36.13366000,146.55502000
385,-36.13366000,146.55613000
